年,全國用電量,工業用電,紡織成衣及服飾品製造業,紙漿、紙及紙製品製造業,化學材?及肥?製造業,塑膠製品製造業,非金屬礦物製品製造業,基本金屬製造業,金屬製品製造業,電子產品及電力設備製造業,其他,住商用電（含住宅及服務業）,住宅用電,服務業用電,批發及零售業,運輸及倉儲業,住宿及餐飲業,出版影音及資通訊業,金融及保險業,不動產業,專業、科學及技術服務業,支援服務業,公共行政及國防,教育業,醫療保健及社會工作服務業,藝術、娛樂及休閒服務業,其他,運輸用電,公路,鐵路,管線運輸,其他,能源部門自用,農業部門
107,"266,567,259","148,970,011","6,164,476","3,614,623","32,201,088","5,376,482","5,763,296","19,404,228","6,927,473","51,118,483","18,399,862","93,941,325","46,849,745","47,091,579","12,411,921","2,826,089","7,156,495","3,368,722","1,887,405","1,511,968","1,405,249","746,725","3,950,907","3,423,851","3,277,437","1,258,783","3,866,027","1,518,337","49,170","1,431,605","37,562",0,"19,176,434","2,961,153"
108,"265,722,802","147,718,922","5,787,988","3,589,843","31,496,227","5,362,772","5,752,802","18,456,274","6,632,784","51,742,333","18,897,899","93,800,849","47,119,070","46,681,779","12,067,393","3,151,406","7,453,466","3,448,086","1,787,085","1,270,717","1,266,680","724,456","4,158,374","3,387,415","3,365,914","1,345,349","3,255,437","1,579,823","80,707","1,462,014","37,101",0,"19,577,412","3,045,797"
109,"271,235,742","150,875,848","4,785,914","3,632,809","31,176,246","5,440,160","5,755,851","18,243,178","6,678,607","55,674,356","19,488,726","96,198,882","50,080,851","46,118,031","11,427,448","3,281,141","7,487,715","3,519,142","1,572,603","783,866","1,002,039","701,932","4,465,316","3,299,856","3,430,809","1,449,509","3,696,655","1,580,564","102,274","1,447,391","30,899",0,"19,306,018","3,274,429"
110,"283,178,929","161,604,097","5,240,396","3,720,573","33,549,840","5,776,096","5,820,433","19,788,829","7,645,242","60,072,556","19,990,132","97,914,926","52,518,912","45,396,014","11,122,581","3,337,280","6,971,603","3,774,103","1,498,884","748,770","1,009,203","724,177","4,394,116","3,044,911","3,440,329","1,219,004","4,111,053","1,534,195","134,582","1,370,195","29,418",0,"18,817,669","3,308,042"
111,"279,432,807","157,110,341","4,725,499","3,525,230","30,195,807","5,376,575","5,584,871","18,152,708","7,061,575","62,125,506","20,362,569","98,433,053","50,837,637","47,595,416","11,478,856","3,409,849","7,503,110","3,910,374","1,460,668","734,734","1,061,892","713,326","4,428,084","3,207,494","3,482,144","1,444,399","4,760,485","1,657,964","187,266","1,444,827","25,871",0,"18,968,223","3,263,227"
112,"276,519,129","153,001,214","3,970,762","3,468,472","28,075,213","4,519,872","5,342,052","18,225,805","5,895,762","63,242,427","20,260,849","99,933,217","51,522,298","48,410,919","11,785,414","3,412,167","7,882,212","3,932,730","1,478,524","716,819","1,068,357","674,949","4,391,022","3,325,511","3,516,537","1,478,850","4,747,826","1,856,264","272,061","1,556,887","27,315",0,"18,451,080","3,277,353"
113,"85,899,265","49,623,297","1,325,663","1,093,665","9,086,581","1,369,647","1,752,339","6,125,649","1,911,420","20,540,650","6,417,683","29,158,338","14,893,530","14,264,808","3,462,886","1,017,639","2,281,398","1,255,718","415,264","219,299","299,662","190,797","1,354,471","922,927","1,013,733","429,699","1,401,314","632,695","110,905","512,645","9,145",0,"5,482,582","1,002,354"
